worker_id,month,total_days_worked,total_hours_worked
197,Feb,26,208
197,Mar,26,208
197,Apr,21,147
197,May,21,126
198,Feb,25,175
198,Mar,20,120
198,Apr,22,154
198,May,26,182
199,Feb,22,154
199,Mar,26,156
199,Apr,25,225
199,May,22,154
200,Feb,23,207
200,Mar,24,144
200,Apr,25,150
200,May,25,175
201,Feb,25,150
201,Mar,24,144
201,Apr,26,208
201,May,22,154
202,Feb,20,140
202,Mar,23,184
202,Apr,21,168
202,May,24,192
203,Feb,20,140
203,Mar,20,160
203,Apr,22,132
203,May,26,234
204,Feb,26,182
204,Mar,26,156
204,Apr,20,180
204,May,21,168
205,Feb,26,182
205,Mar,22,176
205,Apr,20,160
205,May,25,175
206,Feb,23,161
206,Mar,26,156
206,Apr,26,182
206,May,26,234
207,Feb,26,156
207,Mar,23,184
207,Apr,24,216
207,May,20,140
208,Feb,23,161
208,Mar,24,216
208,Apr,26,234
208,May,26,182
209,Feb,20,160
209,Mar,22,154
209,Apr,25,150
209,May,23,161
210,Feb,26,156
210,Mar,23,207
210,Apr,25,150
210,May,22,154
211,Feb,21,147
211,Mar,24,216
211,Apr,21,126
211,May,23,207
212,Feb,26,208
212,Mar,21,189
212,Apr,23,138
212,May,26,234
213,Feb,20,120
213,Mar,22,154
213,Apr,20,180
213,May,23,138
214,Feb,25,150
214,Mar,26,234
214,Apr,23,138
214,May,20,160
215,Feb,22,154
215,Mar,22,132
215,Apr,26,234
215,May,22,198
216,Feb,25,225
216,Mar,24,192
216,Apr,21,126
216,May,22,198
217,Feb,22,154
217,Mar,22,176
217,Apr,20,180
217,May,21,189
218,Feb,23,184
218,Mar,25,175
218,Apr,25,150
218,May,21,126
219,Feb,24,168
219,Mar,23,138
219,Apr,23,207
219,May,23,138
220,Feb,25,200
220,Mar,21,189
220,Apr,24,216
220,May,20,120
221,Feb,21,189
221,Mar,25,225
221,Apr,23,161
221,May,20,160
222,Feb,21,147
222,Mar,23,207
222,Apr,25,175
222,May,22,132
223,Feb,26,208
223,Mar,25,225
223,Apr,26,156
223,May,23,184
224,Feb,20,180
224,Mar,25,200
224,Apr,25,200
224,May,22,154
225,Feb,25,175
225,Mar,23,161
225,Apr,25,150
225,May,21,126
226,Feb,25,175
226,Mar,21,147
226,Apr,20,180
226,May,26,156
227,Feb,26,156
227,Mar,21,189
227,Apr,24,216
227,May,25,225
228,Feb,23,138
228,Mar,23,184
228,Apr,22,132
228,May,22,154
229,Feb,22,132
229,Mar,26,182
229,Apr,24,216
229,May,23,207
230,Feb,20,160
230,Mar,22,132
230,Apr,20,160
230,May,23,207
231,Feb,20,180
231,Mar,20,160
231,Apr,26,182
231,May,22,176
232,Feb,24,216
232,Mar,25,225
232,Apr,22,176
232,May,25,225
233,Feb,22,198
233,Mar,21,168
233,Apr,20,180
233,May,21,189
234,Feb,21,168
234,Mar,26,208
234,Apr,21,126
234,May,25,200
235,Feb,21,147
235,Mar,23,138
235,Apr,22,176
235,May,25,200
236,Feb,21,168
236,Mar,21,147
236,Apr,21,126
236,May,24,216
237,Feb,21,147
237,Mar,25,200
237,Apr,21,168
237,May,21,189
238,Feb,25,225
238,Mar,20,160
238,Apr,23,138
238,May,20,180
239,Feb,26,182
239,Mar,26,182
239,Apr,24,192
239,May,23,184
240,Feb,24,168
240,Mar,23,207
240,Apr,24,216
240,May,25,225
241,Feb,21,168
241,Mar,21,126
241,Apr,26,182
241,May,25,225
242,Feb,20,140
242,Mar,21,126
242,Apr,25,175
242,May,25,150
243,Feb,26,156
243,Mar,23,161
243,Apr,23,138
243,May,21,147
244,Feb,23,138
244,Mar,25,175
244,Apr,20,180
244,May,25,225
245,Feb,25,200
245,Mar,22,132
245,Apr,23,184
245,May,24,168
246,Feb,22,154
246,Mar,20,160
246,Apr,23,138
246,May,21,126
247,Feb,24,216
247,Mar,22,198
247,Apr,24,192
247,May,21,126
248,Feb,25,150
248,Mar,21,189
248,Apr,25,200
248,May,23,184
249,Feb,20,120
249,Mar,21,168
249,Apr,20,160
249,May,22,132
250,Feb,26,182
250,Mar,25,150
250,Apr,21,126
250,May,24,144
251,Feb,20,180
251,Mar,20,140
251,Apr,24,144
251,May,24,216
252,Feb,25,150
252,Mar,25,225
252,Apr,21,168
252,May,21,189
253,Feb,26,234
253,Mar,22,198
253,Apr,22,176
253,May,20,160
254,Feb,21,168
254,Mar,26,234
254,Apr,20,140
254,May,20,160
255,Feb,24,192
255,Mar,20,160
255,Apr,22,176
255,May,26,182
256,Feb,21,189
256,Mar,25,175
256,Apr,25,175
256,May,24,144
257,Feb,20,160
257,Mar,23,207
257,Apr,25,200
257,May,20,120
258,Feb,21,168
258,Mar,21,147
258,Apr,22,198
258,May,21,147
259,Feb,24,144
259,Mar,26,208
259,Apr,26,234
259,May,24,144
260,Feb,21,126
260,Mar,21,168
260,Apr,20,120
260,May,25,175
261,Feb,20,180
261,Mar,22,176
261,Apr,21,126
261,May,26,208
262,Feb,21,147
262,Mar,25,225
262,Apr,20,180
262,May,21,168
263,Feb,21,126
263,Mar,26,182
263,Apr,21,189
263,May,21,168
264,Feb,23,161
264,Mar,20,140
264,Apr,23,161
264,May,24,168
265,Feb,22,154
265,Mar,25,175
265,Apr,25,175
265,May,24,192
266,Feb,21,189
266,Mar,24,168
266,Apr,24,168
266,May,21,189
267,Feb,21,147
267,Mar,23,207
267,Apr,24,216
267,May,25,200
268,Feb,22,132
268,Mar,24,144
268,Apr,26,208
268,May,25,175
269,Feb,24,216
269,Mar,21,189
269,Apr,20,180
269,May,26,208
270,Feb,23,184
270,Mar,23,207
270,Apr,25,200
270,May,24,144
271,Feb,26,208
271,Mar,26,156
271,Apr,23,207
271,May,23,207
272,Feb,24,144
272,Mar,20,120
272,Apr,23,138
272,May,23,138
273,Feb,22,132
273,Mar,23,138
273,Apr,20,140
273,May,24,216
274,Feb,25,175
274,Mar,20,180
274,Apr,24,168
274,May,24,144
275,Feb,20,120
275,Mar,26,208
275,Apr,26,156
275,May,25,175
276,Feb,26,182
276,Mar,22,198
276,Apr,20,180
276,May,21,147
277,Feb,26,182
277,Mar,22,132
277,Apr,20,180
277,May,26,182
278,Feb,23,207
278,Mar,20,120
278,Apr,20,140
278,May,26,208
279,Feb,26,156
279,Mar,22,176
279,Apr,25,175
279,May,23,207
280,Feb,23,207
280,Mar,20,120
280,Apr,21,168
280,May,23,184
281,Feb,25,225
281,Mar,21,168
281,Apr,26,208
281,May,20,180
282,Feb,20,160
282,Mar,23,184
282,Apr,21,147
282,May,21,126
283,Feb,25,200
283,Mar,21,147
283,Apr,21,168
283,May,26,156
284,Feb,20,160
284,Mar,25,175
284,Apr,24,216
284,May,24,192
285,Feb,23,161
285,Mar,21,189
285,Apr,25,150
285,May,21,147
286,Feb,20,180
286,Mar,20,180
286,Apr,24,216
286,May,26,182
287,Feb,22,132
287,Mar,21,126
287,Apr,22,176
287,May,20,180
288,Feb,26,156
288,Mar,20,180
288,Apr,24,168
288,May,20,120
289,Feb,22,132
289,Mar,23,138
289,Apr,26,156
289,May,26,234
290,Feb,24,144
290,Mar,20,160
290,Apr,22,132
290,May,20,120
291,Feb,24,216
291,Mar,21,189
291,Apr,25,200
291,May,22,198
292,Feb,25,175
292,Mar,22,132
292,Apr,24,144
292,May,22,154
293,Feb,21,189
293,Mar,21,126
293,Apr,20,180
293,May,22,132
294,Feb,24,216
294,Mar,25,175
294,Apr,26,208
294,May,22,132
295,Feb,21,189
295,Mar,24,168
295,Apr,20,180
295,May,23,184
296,Feb,20,120
296,Mar,25,175
296,Apr,22,132
296,May,20,140
297,Feb,26,234
297,Mar,26,156
297,Apr,21,168
297,May,25,175
298,Feb,23,138
298,Mar,23,207
298,Apr,25,225
298,May,24,192
299,Feb,21,147
299,Mar,25,150
299,Apr,24,216
299,May,20,180
300,Feb,21,147
300,Mar,24,144
300,Apr,20,180
300,May,20,120
301,Feb,22,154
301,Mar,20,140
301,Apr,21,147
301,May,22,154
302,Feb,26,182
302,Mar,20,160
302,Apr,22,176
302,May,21,168
303,Feb,22,198
303,Mar,26,156
303,Apr,25,200
303,May,26,156
304,Feb,25,150
304,Mar,20,160
304,Apr,25,175
304,May,24,192
305,Feb,23,138
305,Mar,21,168
305,Apr,23,207
305,May,23,138
306,Feb,25,175
306,Mar,25,225
306,Apr,26,156
306,May,22,154
307,Feb,24,168
307,Mar,23,138
307,Apr,23,207
307,May,24,168
308,Feb,25,150
308,Mar,26,156
308,Apr,20,160
308,May,26,234
309,Feb,21,147
309,Mar,26,208
309,Apr,25,150
309,May,25,150
310,Feb,20,160
310,Mar,21,126
310,Apr,26,234
310,May,23,184
311,Feb,25,200
311,Mar,20,180
311,Apr,25,225
311,May,21,126
312,Feb,23,161
312,Mar,25,175
312,Apr,26,234
312,May,20,120
313,Feb,25,150
313,Mar,21,147
313,Apr,25,175
313,May,26,234
314,Feb,20,160
314,Mar,25,175
314,Apr,22,132
314,May,24,168
315,Feb,25,200
315,Mar,25,175
315,Apr,23,161
315,May,22,154
316,Feb,25,200
316,Mar,22,154
316,Apr,22,176
316,May,21,147
317,Feb,22,154
317,Mar,23,207
317,Apr,26,182
317,May,25,175
318,Feb,21,189
318,Mar,24,144
318,Apr,23,184
318,May,22,176
319,Feb,21,168
319,Mar,24,192
319,Apr,25,225
319,May,21,189
320,Feb,22,154
320,Mar,24,168
320,Apr,25,200
320,May,23,161
321,Feb,24,168
321,Mar,22,198
321,Apr,22,198
321,May,20,180
322,Feb,25,225
322,Mar,26,234
322,Apr,21,147
322,May,26,182
323,Feb,23,138
323,Mar,26,234
323,Apr,24,192
323,May,25,225
324,Feb,20,160
324,Mar,21,189
324,Apr,22,154
324,May,22,132
325,Feb,22,154
325,Mar,24,192
325,Apr,20,160
325,May,25,150
326,Feb,24,192
326,Mar,24,144
326,Apr,23,161
326,May,25,225
327,Feb,25,200
327,Mar,24,168
327,Apr,20,160
327,May,22,176
328,Feb,22,154
328,Mar,23,138
328,Apr,24,192
328,May,23,138
329,Feb,23,138
329,Mar,20,120
329,Apr,20,180
329,May,24,192
330,Feb,23,161
330,Mar,20,180
330,Apr,24,144
330,May,22,176
331,Feb,25,150
331,Mar,22,154
331,Apr,26,182
331,May,22,154
332,Feb,22,198
332,Mar,21,189
332,Apr,24,216
332,May,21,126
333,Feb,25,150
333,Mar,21,168
333,Apr,24,192
333,May,22,132
334,Feb,26,234
334,Mar,22,198
334,Apr,22,132
334,May,24,216
335,Feb,25,200
335,Mar,23,207
335,Apr,22,154
335,May,20,140
336,Feb,21,189
336,Mar,24,144
336,Apr,25,200
336,May,20,120
337,Feb,26,156
337,Mar,25,225
337,Apr,22,132
337,May,22,176
338,Feb,26,234
338,Mar,24,168
338,Apr,24,144
338,May,22,176
339,Feb,24,192
339,Mar,20,120
339,Apr,20,180
339,May,22,198
340,Feb,26,234
340,Mar,26,182
340,Apr,25,225
340,May,23,184
341,Feb,25,150
341,Mar,20,140
341,Apr,20,140
341,May,21,168
342,Feb,20,140
342,Mar,20,140
342,Apr,21,168
342,May,25,175
343,Feb,25,150
343,Mar,26,208
343,Apr,24,144
343,May,23,161
344,Feb,20,120
344,Mar,24,192
344,Apr,24,144
344,May,22,198
345,Feb,24,192
345,Mar,20,120
345,Apr,25,200
345,May,26,208
346,Feb,25,200
346,Mar,24,144
346,Apr,23,138
346,May,24,168
347,Feb,22,154
347,Mar,21,168
347,Apr,25,200
347,May,24,144
348,Feb,21,189
348,Mar,22,176
348,Apr,20,140
348,May,23,184
349,Feb,24,168
349,Mar,24,192
349,Apr,24,144
349,May,22,154
350,Feb,20,120
350,Mar,26,182
350,Apr,23,184
350,May,24,216
351,Feb,26,156
351,Mar,25,225
351,Apr,21,147
351,May,26,182
352,Feb,24,216
352,Mar,22,198
352,Apr,24,216
352,May,23,138
353,Feb,26,208
353,Mar,25,200
353,Apr,21,168
353,May,24,192
354,Feb,24,144
354,Mar,24,216
354,Apr,21,147
354,May,25,175
355,Feb,22,154
355,Mar,25,150
355,Apr,20,160
355,May,23,161
356,Feb,20,140
356,Mar,25,225
356,Apr,23,184
356,May,22,154
357,Feb,21,126
357,Mar,23,138
357,Apr,24,192
357,May,22,154
358,Feb,20,160
358,Mar,20,140
358,Apr,25,200
358,May,26,208
359,Feb,22,198
359,Mar,21,168
359,Apr,25,150
359,May,25,200
360,Feb,26,208
360,Mar,20,120
360,Apr,20,140
360,May,20,160
361,Feb,20,120
361,Mar,20,160
361,Apr,21,147
361,May,25,200
362,Feb,24,168
362,Mar,23,161
362,Apr,22,154
362,May,21,126
363,Feb,25,200
363,Mar,26,208
363,Apr,23,138
363,May,25,150
364,Feb,24,216
364,Mar,24,144
364,Apr,20,120
364,May,24,192
365,Feb,23,161
365,Mar,26,182
365,Apr,22,176
365,May,25,225
366,Feb,24,216
366,Mar,20,140
366,Apr,22,198
366,May,26,234
367,Feb,26,234
367,Mar,24,192
367,Apr,26,156
367,May,25,225
368,Feb,25,150
